textbox89,textbox9856,textbox25
Sélectionnez une période,20/04/2026 - 26/04/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,2,"2,6 %","0,0 %",2,,233,"0,0 %",233,,"-5,53","-2,37%",-6,"-2,37%",PREMIUM,,,47,"60,3 %","2,2 %",1,,5 296,"37,3 %",1 439,,"-93,45","-1,76%",632,"11,94%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
CONTINENTAL,,,37,"47,4 %","-19,6 %",-9,,3 518,"-8,8 %",-339,,"-308,57","-8,77%",392,"11,14%",PREMIUM,,,47,"60,3 %","2,2 %",1,,5 296,"37,3 %",1 439,,"-93,45","-1,76%",632,"11,94%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,47,"60,3 %","2,2 %",1,,5 296,"37,3 %",1 439,,"-93,45","-1,76%",632,"11,94%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
MICHELIN,,,8,"10,3 %","0,0 %",8,,1 544,"0,0 %",1 544,,"220,65","14,29%",246,"15,92%",PREMIUM,,,47,"60,3 %","2,2 %",1,,5 296,"37,3 %",1 439,,"-93,45","-1,76%",632,"11,94%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,47,"60,3 %","2,2 %",1,,5 296,"37,3 %",1 439,,"-93,45","-1,76%",632,"11,94%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
AUTRE,,,2,"2,6 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
FEU VERT,,,11,"14,1 %","-26,7 %",-4,,755,"-23,0 %",-226,,"111,35","14,75%",200,"26,51%",MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
HANKOOK,,,,,"-100,0 %",-6,,,"-100,0 %",-602,,,-,,-,MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
NEXEN,,,4,"5,1 %","0,0 %",4,,340,"0,0 %",340,,"-9,77","-2,88%",15,"4,33%",MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
NOKIAN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,17,"21,8 %","-19,0 %",-4,,1 222,"-22,7 %",-360,,"103,28","8,45%",225,"18,44%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
AUTRE,,,4,"5,1 %","0,0 %",0,,205,"29,5 %",47,,"48,28","23,55%",54,"26,23%",BUDGET,,,14,"17,9 %","7,7 %",1,,589,"1,8 %",10,,"88,29","14,99%",103,"17,52%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
ROVELO,,,4,"5,1 %","33,3 %",1,,142,"15,9 %",19,,"27,35","19,26%",27,"19,26%",BUDGET,,,14,"17,9 %","7,7 %",1,,589,"1,8 %",10,,"88,29","14,99%",103,"17,52%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"
TRACMAX,,,6,"7,7 %","0,0 %",0,,242,"-18,7 %",-56,,"12,66","5,23%",22,"9,12%",BUDGET,,,14,"17,9 %","7,7 %",1,,589,"1,8 %",10,,"88,29","14,99%",103,"17,52%",,78,"-2,5 %",-2,,7 107,"18,1 %","1 089,51",,"98,12","1,38%",961,"13,52%"

marque,Obj,pdm5,real,PdmReal,Textbox305,textbox181,ObjectifCA2,G,Textbox73,textbox255,I,JI,Textbox98,J,textbox313,categorie,textbox184,textbox285,Greal,textbox187,Textbox311,textbox183,Textbox95,GG,Textbox75,textbox267,GI,GJI,Textbox107,GJ,textbox317,textbox8,totalReal,Textbox316b,textbox186,Textbox96,TG,Textbox76,textbox259,TI,TJI,Textbox103,TJ,textbox318
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,35,"63,6 %","59,1 %",13,,4 433,"181,5 %",2 858,,"-12,36","-0,28%",606,"13,67%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
CONTINENTAL,,,27,"49,1 %","22,7 %",5,,2 888,"83,4 %",1 313,,"-233,01","-8,07%",360,"12,47%",PREMIUM,,,35,"63,6 %","59,1 %",13,,4 433,"181,5 %",2 858,,"-12,36","-0,28%",606,"13,67%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,35,"63,6 %","59,1 %",13,,4 433,"181,5 %",2 858,,"-12,36","-0,28%",606,"13,67%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
MICHELIN,,,8,"14,5 %","0,0 %",8,,1 544,"0,0 %",1 544,,"220,65","14,29%",246,"15,92%",PREMIUM,,,35,"63,6 %","59,1 %",13,,4 433,"181,5 %",2 858,,"-12,36","-0,28%",606,"13,67%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,35,"63,6 %","59,1 %",13,,4 433,"181,5 %",2 858,,"-12,36","-0,28%",606,"13,67%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,10,"18,2 %","-9,1 %",-1,,673,"-14,8 %",-117,,"98,12","14,59%",177,"26,38%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
FEU VERT,,,10,"18,2 %","11,1 %",1,,673,"13,5 %",80,,"98,12","14,59%",177,"26,38%",MEDIUM,,,10,"18,2 %","-9,1 %",-1,,673,"-14,8 %",-117,,"98,12","14,59%",177,"26,38%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
HANKOOK,,,,,"-100,0 %",-2,,,"-100,0 %",-197,,,-,,-,MEDIUM,,,10,"18,2 %","-9,1 %",-1,,673,"-14,8 %",-117,,"98,12","14,59%",177,"26,38%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
NEXEN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,10,"18,2 %","-9,1 %",-1,,673,"-14,8 %",-117,,"98,12","14,59%",177,"26,38%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
AUTRE,,,4,"7,3 %","100,0 %",2,,205,"164,5 %",128,,"48,28","23,55%",54,"26,23%",BUDGET,,,10,"18,2 %","100,0 %",5,,397,"98,3 %",197,,"70,77","17,84%",81,"20,40%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
ROVELO,,,2,"3,6 %","-33,3 %",-1,,73,"-40,2 %",-49,,"17,48","23,83%",17,"23,83%",BUDGET,,,10,"18,2 %","100,0 %",5,,397,"98,3 %",197,,"70,77","17,84%",81,"20,40%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"
TRACMAX,,,4,"7,3 %","0,0 %",4,,118,"0,0 %",118,,"5,01","4,23%",10,"8,16%",BUDGET,,,10,"18,2 %","100,0 %",5,,397,"98,3 %",197,,"70,77","17,84%",81,"20,40%",,55,"44,7 %",17,,5 502,"114,6 %","2 937,56",,"156,53","2,85%",864,"15,71%"

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
CONTINENTAL,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",PREMIUM,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
MICHELIN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,10,"52,6 %","-54,5 %",-12,,630,"-69,4 %",-1 430,,"-75,56","-12,00%",32,"5,08%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,5,"26,3 %","-50,0 %",-5,,422,"-46,8 %",-371,,"3,46","0,82%",37,"8,88%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
FEU VERT,,,1,"5,3 %","-83,3 %",-5,,82,"-78,7 %",-305,,"13,23","16,05%",23,"27,64%",MEDIUM,,,5,"26,3 %","-50,0 %",-5,,422,"-46,8 %",-371,,"3,46","0,82%",37,"8,88%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
HANKOOK,,,,,"-100,0 %",-4,,,"-100,0 %",-405,,,-,,-,MEDIUM,,,5,"26,3 %","-50,0 %",-5,,422,"-46,8 %",-371,,"3,46","0,82%",37,"8,88%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,5,"26,3 %","-50,0 %",-5,,422,"-46,8 %",-371,,"3,46","0,82%",37,"8,88%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
NEXEN,,,4,"21,1 %","0,0 %",4,,340,"0,0 %",340,,"-9,77","-2,88%",15,"4,33%",MEDIUM,,,5,"26,3 %","-50,0 %",-5,,422,"-46,8 %",-371,,"3,46","0,82%",37,"8,88%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
AUTRE,,,,,"-100,0 %",-2,,,"-100,0 %",-81,,,-,,-,BUDGET,,,4,"21,1 %","-50,0 %",-4,,192,"-49,2 %",-186,,"17,52","9,11%",22,"11,58%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
ROVELO,,,2,"10,5 %","0,0 %",2,,69,"0,0 %",69,,"9,87","14,37%",10,"14,37%",BUDGET,,,4,"21,1 %","-50,0 %",-4,,192,"-49,2 %",-186,,"17,52","9,11%",22,"11,58%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"
TRACMAX,,,2,"10,5 %","-66,7 %",-4,,124,"-58,5 %",-174,,"7,65","6,19%",12,"10,03%",BUDGET,,,4,"21,1 %","-50,0 %",-4,,192,"-49,2 %",-186,,"17,52","9,11%",22,"11,58%",,19,"-52,5 %",-21,,1 244,"-61,5 %","-1 987,26",,"-54,58","-4,39%",92,"7,37%"

marque3,Obj3,pdm7,real3,PdmReal3,Textbox312b,textbox197,Textbox106,G3,Textbox82,textbox257,I3,JI6,Textbox100,J3,Textbox9,categorie3,textbox199,textbox289,Greal3,textbox201,Textbox314b,textbox202,Textbox108,GG3,Textbox85,textbox271,GI3,GJI6,Textbox109,GJ3,Textbox11,textbox50,totalReal3,Textbox315b,textbox203,Textbox110,TG3,Textbox86,textbox261,TI3,TJI6,Textbox281,TJ3,Textbox12
AUTRE,,,2,"50,0 %","0,0 %",2,,233,"0,0 %",233,,"-5,53","-2,37%",-6,"-2,37%",PREMIUM,,,2,"50,0 %","0,0 %",0,,233,"5,3 %",12,,"-5,53","-2,37%",-6,"-2,37%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
CONTINENTAL,,,,,"-100,0 %",-2,,,"-100,0 %",-222,,,-,,-,PREMIUM,,,2,"50,0 %","0,0 %",0,,233,"5,3 %",12,,"-5,53","-2,37%",-6,"-2,37%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
MICHELIN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,2,"50,0 %","0,0 %",0,,233,"5,3 %",12,,"-5,53","-2,37%",-6,"-2,37%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
AUTRE,,,2,"50,0 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",MEDIUM,,,2,"50,0 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
HANKOOK,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,2,"50,0 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,2,"50,0 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
NOKIAN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,2,"50,0 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"
TRACMAX,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,,"0,0 %","0,0 %",0,,,"0,0 %",0,,,-,,-,,4,"100,0 %",2,,361,"62,8 %","139,21",,"-3,83","-1,06%",5,"1,38%"

